logged_at,model_p,actual_outcome,direction
2026-06-12T12:00:08.265902,0.2415,1,equal
2026-06-12T12:00:10.340959,0.1164,0,range
2026-06-12T12:00:10.998937,0.1751,0,range
2026-06-12T12:00:11.159955,0.0676,0,equal
2026-06-12T12:00:11.327924,0.2212,1,equal
2026-06-12T12:00:11.483992,0.1487,0,equal
2026-06-12T12:00:11.643583,0.0288,0,equal
2026-06-12T12:00:11.801210,0.1043,0,range
2026-06-12T12:00:11.936364,0.0554,0,range
2026-06-12T12:00:12.077636,0.1376,1,range
2026-06-12T12:00:12.208817,0.001,0,equal
2026-06-12T12:00:12.329863,0.0235,0,equal
2026-06-12T12:00:12.485737,0.001,0,equal
2026-06-12T12:00:12.605716,0.0412,0,range
2026-06-12T12:00:12.733618,0.0082,0,equal
2026-06-12T12:00:12.851132,0.2132,0,equal
2026-06-12T12:00:12.973068,0.1082,0,equal
2026-06-12T12:00:13.087170,0.0691,0,equal
2026-06-12T12:00:14.402771,0.001,0,equal
2026-06-12T12:00:16.537280,0.001,0,equal
2026-06-12T12:00:16.744851,0.1092,0,range
2026-06-12T12:00:17.345614,0.0806,0,range
2026-06-12T12:00:17.518509,0.1814,0,equal
2026-06-12T12:00:17.667525,0.05,0,equal
2026-06-12T12:00:17.801116,0.001,0,equal
2026-06-12T12:00:17.932189,0.1746,1,equal
2026-06-12T12:00:18.069400,0.143,0,equal
2026-06-12T12:00:18.202102,0.001,0,equal
2026-06-12T12:00:18.383074,0.001,0,equal
2026-06-12T12:00:18.631479,0.0049,0,equal
2026-06-12T12:00:19.307646,0.0848,0,range
2026-06-12T12:00:19.427375,0.001,0,range
2026-06-12T12:00:19.550683,0.2714,0,equal
2026-06-12T12:00:19.707470,0.1675,0,equal
2026-06-12T12:00:19.869511,0.1262,0,range
2026-06-12T12:00:20.002258,0.028,0,range
2026-06-12T12:00:20.109327,0.1348,0,range
2026-06-12T12:00:20.230775,0.0065,0,range
2026-06-12T12:00:20.357814,0.1281,0,range
2026-06-12T12:00:20.484159,0.0725,0,range
2026-06-12T12:00:20.612981,0.0497,0,range
2026-06-12T12:00:20.738991,0.1269,0,range
2026-06-12T12:00:20.854729,0.1266,0,range
2026-06-12T12:00:20.965574,0.0517,0,range
2026-06-12T12:00:21.081624,0.0131,0,equal
2026-06-12T12:00:21.189657,0.1409,0,equal
2026-06-12T12:00:22.570039,0.0848,1,equal
2026-06-12T12:00:24.650737,0.1575,0,equal
2026-06-12T12:00:25.256719,0.007,0,equal
2026-06-12T12:00:25.407927,0.1185,0,range
2026-06-12T12:00:25.549161,0.0551,0,range
2026-06-12T12:00:25.682898,0.0087,0,range
2026-06-12T12:00:25.805694,0.1687,0,range
2026-06-12T12:00:25.955661,0.0101,0,range
2026-06-12T12:00:26.086187,0.0442,0,range
